,College Name,GPA,Verbal,Quants,Writing
276,University Of South Dakota,3.85,154.0,139.0,4.0
277,San Diego State University (SDSU),3.04,155.0,151.0,4.0
278,University Of Pittsburgh,3.32,170.0,144.0,2.5
279,George Washington University (GWU),3.4,158.0,159.0,4.5
280,"University Of North Carolina, Chapel Hill (UNC)",3.86,157.0,152.0,4.0
281,Western Michigan University,3.3,157.0,150.0,5.0
282,University Of Northern Iowa,3.3,153.0,150.0,5.0
283,"Missouri S&T,ULL",3.5,146.0,159.0,3.5
284,Indiana University Of Pennsylvania,3.51,150.0,150.0,4.0
285,University Of South Dakota,3.8,151.0,149.0,4.0
286,Michigan State University (MSU),3.8,155.0,148.0,4.0
287,George Washington University (GWU),3.4,155.0,156.0,4.0
288,Seton Hall University,3.63,152.0,152.0,4.0
289,Appalachian State University,3.73,152.0,151.0,4.5
290,Northern Illinois University,3.66,149.0,147.0,4.5
291,Johns Hopkins University (JHU),3.49,159.0,156.0,4.0
292,Nothwestern University,3.72,153.0,148.0,3.5
293,University Of New Hampshire,3.59,151.0,151.0,4.0
294,"University Of Illinois, Chicago (UIC)",3.63,157.0,170.0,3.0
295,University Of Central Florida (UCF),3.81,153.0,155.0,5.0
296,"University Of Washington, Seattle (UW)",3.84,154.0,148.0,4.5
297,"Northwester University, University Of Wisconsin-Milwaukee, UW-Whitewater, UW-Stevens Point",3.7,155.0,154.0,4.5
298,Arizona State University (ASU),3.24,163.0,152.0,4.0
299,Fontbonne University,3.82,150.0,155.0,4.0
300,"University Of Colorado, Boulder",3.0,158.0,160.0,4.0
301,Duke University,3.33,153.0,166.0,4.5
302,Columbia University,3.6,165.0,150.0,5.0
303,University Of Kansas,3.43,151.0,153.0,3.5
304,Columbia University,3.92,160.0,156.0,4.5
305,Edinboro University,3.0,150.0,150.0,4.0
306,University Of Chicago (UChicago),3.99,163.0,170.0,4.0
307,Nothwestern University,3.71,153.0,166.0,4.0
308,James Madison University,3.54,150.0,147.0,4.5
309,Georgetown University,3.7,165.0,158.0,4.5
310,James Madison University,3.64,152.0,153.0,4.0
311,California State University East Bay,3.97,156.0,150.0,4.5
312,University Of Pennsylvania (UPenn),3.53,156.0,170.0,3.5
313,University Of North Dakota,3.8,151.0,148.0,4.0
314,Nothwestern University,3.2,162.0,160.0,4.0
315,Concordia University,3.0,152.0,165.0,3.0
316,"University Of California, Irvine (UCI)",3.5,170.0,146.0,3.5
317,"University Of Florida, Gainesville (UFL)",3.8,151.0,158.0,4.0
318,Appalachian State University,3.95,152.0,154.0,4.5
319,Stockton University,3.87,150.0,145.0,4.0
320,University Of Central Florida (UCF),3.76,161.0,155.0,4.5
321,Utah State University,3.76,162.0,155.0,5.0
322,"California State University, Fullerton",3.79,153.0,151.0,4.0
323,Edinboro University,3.82,155.0,150.0,4.0
324,Case Western Reserve University (CWRU),3.8,155.0,165.0,3.0
325,"University Of Michigan, Ann Arbor (UMich)",3.96,147.0,170.0,3.5
326,"University Of California, Riverside (UCR)",3.8,160.0,155.0,5.0
327,University Of Central Florida (UCF),3.76,151.0,151.0,4.5
328,St. Cloud State University,3.8,151.0,148.0,4.0
329,George Washington University (GWU),3.14,144.0,162.0,5.0
330,Pennsylvania State University (Penn State),3.79,152.0,155.0,3.0
331,"University Of Florida, Gainesville (UFL)",3.45,153.0,168.0,3.0
332,"University Of Illinois, Urbana-Champaign (UIUC)",3.92,148.0,147.0,4.5
333,"University Of Nebraska, Omaha",3.92,148.0,147.0,4.5
334,Michigan State University (MSU),3.5,151.0,160.0,4.5
335,Appalachian State University,3.73,156.0,155.0,4.5
336,Florida International University (FIU),3.5,144.0,148.0,3.5
337,University Of Southern California (USC),3.7,150.0,160.0,3.0
338,University Of Southern California (USC),3.776,156.0,165.0,3.5
339,UIUC UT AUSTIN,3.64,152.0,170.0,3.5
340,University Of Houston,3.0,153.0,146.0,3.0
341,Syracuse University,3.75,148.0,164.0,3.0
342,"University Of Texas, Austin (UT Austin)",3.87,160.0,164.0,5.0
343,Appalachian State University,3.79,161.0,150.0,4.5
344,"University Of Washington, Seattle (UW)",3.76,163.0,164.0,4.5
345,Arizona State University (ASU),4.0,160.0,156.0,4.0
346,"University Of Washington, Seattle (UW)",4.0,160.0,156.0,4.0
