,College Name,GPA,Verbal,Quants,Writing,Cluster
216,Marywood University,3.88,148.5,152.0,4.25,1
217,Massachusetts Institute Of Technology (MIT),3.732,164.5,164.0,4.25,0
218,McGill Unviversity,3.6929047619047615,157.3095238095238,163.4047619047619,4.130952380952381,0
219,McMaster University,3.65,163.6,159.8,4.1,0
220,Memorial University Of Newfoundland (MUN),3.453333333333333,156.0,158.0,4.166666666666667,4
221,Memphis University,3.5,169.0,155.0,5.0,2
222,Mercer University,3.315,155.0,149.0,3.5,1
223,Mercyhurst University,3.6,163.0,168.0,5.0,0
224,Miami University,3.7172727272727273,155.54545454545453,152.27272727272728,4.409090909090909,4
225,"Miami University, Ohio",3.7533333333333334,159.29166666666666,154.20833333333334,4.5,4
226,Michigan State University,3.5250000000000004,158.0,157.0,4.25,4
227,Michigan State University (MSU),3.6307407407407397,157.74074074074073,155.3148148148148,4.166666666666667,4
228,Michigan Tech University,3.7,151.0,162.0,3.0,3
229,Michigan Technological University (MTU),3.397555555555556,152.44444444444446,162.22222222222223,3.4722222222222223,3
230,Middle East Technical University,3.11,156.5,158.5,4.75,4
231,Middle Tennessee State University,3.7025,156.5,152.75,4.5,4
232,Midwestern University,3.6410714285714287,152.53571428571428,150.57142857142858,4.392857142857143,1
233,"Minnesota State University, Mankato",3.0,158.0,160.0,4.5,0
234,"Minnesota State University, Moorhead",3.75,168.0,149.0,5.5,2
235,Minot State University,3.74,157.25,149.5,4.625,4
236,Misericordia University,3.84,154.0,155.0,4.5,4
237,Mississippi State University,3.5700000000000003,151.5,155.0,4.0,4
238,"Missouri S&T,ULL",3.5,146.0,159.0,3.5,3
239,Missouri State University,3.5509999999999997,153.5,151.4,4.2,1
240,Missouri University,3.47,148.0,157.0,4.5,3
241,Missouri University Of Science And Technology,3.526666666666667,150.33333333333334,165.66666666666666,3.1666666666666665,3
242,Monash University,3.6,162.0,166.0,3.5,0
243,Monmouth University,3.8925,150.5,151.0,4.25,1
244,Montana State University,3.3,159.0,160.0,4.5,0
245,Montclair State University,3.7036,155.32,153.04,4.52,4
246,Montevallo University,3.813333333333333,151.66666666666666,149.66666666666666,4.166666666666667,1
247,Murray State University,3.4633333333333334,150.0,147.66666666666666,4.0,1
248,NOVA Southeastern University,3.4899999999999998,156.0,153.66666666666666,4.0,4
249,NYU CSUP,3.82,147.0,168.0,3.0,3
250,National University Of Singapore (NUS),3.94,148.0,162.0,4.0,3
251,New Mexico State University,3.572105263157895,154.05263157894737,153.05263157894737,4.078947368421052,4
252,New York University (NYU),3.62616504854369,160.36893203883494,157.42233009708738,4.433495145631069,2
253,North Carolina Central University,3.5619999999999994,149.13333333333333,149.0,4.1,1
254,North Carolina State University (NCSU),3.4699999999999998,159.0,162.5,4.5,0
255,North Caroline State University (NCSU),3.5204,157.472,162.696,3.916,0
256,North Dakota State University,3.1100000000000003,150.0,162.0,4.0,3
257,Northeastern State University,4.0,160.0,148.0,3.5,4
258,Northeastern University,3.5270701754385976,155.96491228070175,157.62280701754386,3.93859649122807,4
259,Northern Arizona University,3.7399999999999998,156.36666666666667,151.76666666666668,4.333333333333333,4
260,Northern Illinois University,3.5383773584905676,158.75471698113208,155.81132075471697,4.490566037735849,4
261,Northern Kentucky University,3.88,146.0,157.0,3.0,3
262,"Northwester University, University Of Wisconsin-Milwaukee, UW-Whitewater, UW-Stevens Point",3.7,155.0,154.0,4.5,4
263,Northwestern State University,4.0,160.0,155.0,5.0,4
264,Northwestern University,3.521,162.5,156.6,4.75,2
265,Nothwestern University,3.6756850393700784,159.18897637795277,157.71653543307087,4.383464566929134,4
266,Oakland University,3.216666666666667,155.66666666666666,156.33333333333334,4.5,4
267,Ohio State Univ,3.67,149.0,165.0,3.0,3
268,Ohio State University (OSU),3.593709677419355,157.5483870967742,159.5,4.129032258064516,0
269,"Ohio State University, Columbus (OSU)",3.6477037037037037,158.55555555555554,157.7037037037037,4.425925925925926,4
270,Ohio State University/Fisher School Of Business,3.3,160.0,144.0,4.5,1
271,"Ohio University, Athens",3.731666666666667,157.16666666666666,154.6,4.333333333333333,4
272,Oklahoma State University,3.64,153.08333333333334,155.66666666666666,3.75,4
273,Oklahoma University,3.7,153.0,163.0,4.0,3
274,Old Dominion University,3.766666666666667,153.16666666666666,150.0,4.416666666666667,1
275,Oregon Health And Science University,3.1,161.0,153.0,4.0,2
276,Oregon State University,3.577307692307692,156.73076923076923,161.5,4.096153846153846,0
277,Our Lady Of The Lake University,3.686666666666667,151.66666666666666,150.33333333333334,4.25,1
278,Pacific University,3.5707142857142857,158.57142857142858,152.28571428571428,4.285714285714286,4
279,Penn State University School Of International Affairs,3.8,142.0,144.0,4.0,1
280,Pennsylvania State University (Penn State),3.6531470588235284,157.58823529411765,159.3235294117647,4.1838235294117645,0
281,Pennsylvania State University (PennState),3.76875,159.25,161.75,4.4375,0
282,Pepperdine University,3.4000000000000004,164.0,150.0,4.0,2
283,Philadelphia University,3.3600000000000003,160.5,154.5,4.25,4
284,Plymouth State University,3.4600000000000004,155.0,155.66666666666666,4.5,4
285,Politecnico Di Milano,3.9,168.0,160.0,5.0,2
286,Portland State University,3.61327868852459,159.4262295081967,152.9344262295082,4.377049180327869,4
287,Pratt Institute,3.7,155.0,163.0,4.5,3
288,Princeton University,3.6966666666666668,164.29166666666666,163.79166666666666,4.875,0
289,Purdue University,3.687190476190477,157.3015873015873,161.65079365079364,4.075396825396825,0
290,Queen Mary University Of London,3.4,149.0,150.0,3.5,1
291,Queens University,3.898571428571429,164.28571428571428,161.71428571428572,5.0,0
292,Radford University,3.644146341463416,153.3170731707317,151.0487804878049,4.341463414634147,1
293,Redland University,3.6,155.0,151.0,3.5,4
294,Rice University,3.6085833333333333,159.375,162.91666666666666,4.104166666666667,0
295,"Robotics Institute, Carnegie Mellon University",3.96,157.0,169.0,3.0,0
296,Rockhurst University,3.62375,151.875,147.0,4.1875,1
297,Roosevelt University,3.9,159.0,152.0,4.4,4
298,Rosalind Franklin University,3.2,146.0,158.0,3.0,3
299,Rush University,3.6876923076923074,158.48717948717947,153.6153846153846,4.487179487179487,4
300,Rutgers University,3.516885245901641,158.7704918032787,159.49180327868854,4.081967213114754,0
301,Ryerson University,3.6333333333333333,157.66666666666666,152.66666666666666,4.5,4
302,SRM University,3.9,150.0,162.0,3.5,3
303,SUNY Albany,3.3083333333333336,155.83333333333334,159.66666666666666,4.083333333333333,4
304,SUNY Binghamton,3.5875,148.75,157.75,3.625,3
305,SUNY Buffalo,3.541136363636363,153.13636363636363,158.0909090909091,3.784090909090909,4
306,SUNY Oswego,3.03,144.0,161.0,2.5,3
307,SUNY Stony Brook,3.5190476190476185,157.14285714285714,163.33333333333334,3.642857142857143,0
