,College Name,Tier
499,University Of Kent BSIS,4
500,University Of Kentucky,4
501,University Of Leeds,3
502,University Of Leicester,3
503,University Of Lethbridge,1
504,University Of London,5
505,University Of Louisiana At Monroe,5
506,"University Of Louisiana, Lafayette",4
507,University Of Louisville,4
508,University Of Maine,4
509,University Of Manchester,1
510,University Of Manitoba,4
511,University Of Maryland - MAPO,3
512,"University Of Maryland, Baltimore County (UMBC)",4
513,"University Of Maryland, College Park (UMD)",4
514,"University Of Maryland, School Of Public Policy",3
515,"University Of Massachusetts, Amherst (UMass)",4
516,"University Of Massachusetts, Boston",4
517,University Of Memphis,4
518,University Of Miami,4
519,University Of Michigan (Ford School And Rackham Graduate School),3
520,University Of Michigan School Of Natural Resources And Environment,1
521,University Of Michigan School Of Natural Resources And Environment (SNRE),1
522,"University Of Michigan School Of Public Health, Health Behavior & Health Education MPH",4
523,"University Of Michigan, Ann Arbor (UMich)",1
524,"University Of Michigan, Ann Arbor (Umich)",1
525,University Of Minnesota,4
526,"University Of Minnesota, Twin Cities (UMN)",1
527,University Of Mississippi,5
528,University Of Missouri,4
529,"University Of Missouri, Columbia",4
530,"University Of Missouri, Kansas City",2
531,University Of Montana,4
532,University Of Montevallo,5
533,"University Of Nebraska, Lincoln",4
534,"University Of Nebraska, Omaha",5
535,University Of Nebraska-Kearney,5
536,"University Of Nevada, Las Vegas",1
537,"University Of Nevada, Reno",5
538,University Of New Brunswick,2
539,University Of New England,4
540,University Of New Hampshire,4
541,University Of New Haven,4
542,University Of New Mexico,4
543,University Of New Orleans,1
544,University Of North Carolina (UNC). Gillings School Of Public Health,1
545,University Of North Carolina Gillings School Of Global Public Health,1
546,University Of North Carolina School Of Government,3
547,"University Of North Carolina, Chapel Hill (UNC)",3
548,"University Of North Carolina, Charlotte",4
549,"University Of North Carolina, Greensboro",4
550,"University Of North Carolina, Wilmington",4
551,University Of North Dakota,4
552,University Of North Texas,4
553,University Of Northern Colorado,4
554,University Of Northern Iowa,5
555,University Of Notre Dame,3
556,University Of Nottingham,1
557,University Of Ohio,2
558,University Of Oklahoma,4
